Case reference,Source sheet,Template column,Issue
S62A/22/0000004,Application (Major),Representations publish date,could not convert value: 'Q published 8/6/22.  Others published by 13/7/22'
S62A/22/0000002,Application (Major),S106 submitted date,could not convert value: '8 September 2022 Signed copy 13 September 2022'
S62A/2022/0012,Application (Major),Representations period - End,"could not convert value: '17-Nov-22 (Henham PC 22/11/22.  Henham PC told 3ps deadline was 22/11/22 so may be some ""late"".  LPA 25/11/22)'"
S62A/2022/0012,Application (Major),Representations publish date,could not convert value: 'Q published 18/10/22'
S62A/2022/0012,Application (Major),Additional meeting required date,could not convert value: 'S106 meeting held on 28/11/22'
S62A/22/0006,Application (Major),Target publish date,could not convert value: '5 Aug 2022.  Docs redacted and in publishing holding folder. '
S62A/22/0006,Application (Major),Interim findings date,could not convert value: '07/09/2022. App response 09/09/2022. Additional information ie ES due 21/11/2022.  ES submitted 2/12/22'
S62A/2023/0015,Application (Major),Hearing  date,could not convert value: 'Written reps'
S62A/2022/0011,Application (Major),Target publish date,could not convert value: 'delayed due to ES request'
S62A/2022/0011,Application (Major),Hearing  date,could not convert value: 'Written reps'
S62A/2022/0014,Application (Major),Representations publish date,could not convert value: 'Q published 7/12/22'
S62A/22/0007,Application (Major),Notification received date,could not convert value: '17 March 2022 and 22 July 2022'
S62A/22/0007,Application (Major),Representations publish date,could not convert value: 'Q published 24/8/22'
S62A/22/0007,Application (Major),Hearing  date,could not convert value: '10/05/2023 (venue provided by applicant)'
S62A/22/0005,Application (Major),Representations period - End,could not convert value: '06/12/2022  (LPA to provide response by 16 Dec 2022)'
S62A/22/0005,Application (Major),Interim findings date,could not convert value: '09/12/2022. App response 16/12/22. Additional information will be provided by 20 January 2023. Will now be submitted by 10 Feb 2023'
S62A/22/0005,Application (Major),Hearing  date,could not convert value: 'Written reps'
S62A/2023/0017,Application (Major),Representations period - End,could not convert value: '26/05/2023 (9 June for LPA - treat that as end of reps period)'
S62A/2023/0017,Application (Major),Representations publish date,could not convert value: '12/6/23 (last of docs published by this date - LPA has response extension)'
S62A/2023/0016,Application (Major),Representations period - End,could not convert value: '01/06/2023 (9 June for LPA - treat that as end of reps period)'
S62A/2023/0018,Application (Major),Representations period - End,could not convert value: '01/06/2023 (9 June for LPA - treat that as end of reps period)'
S62A/2023/0018,Application (Major),S106 submitted date,"could not convert value: 'due 6 July 2023 now 14 July 2023 now 20 July 2023, UDC part rec 21 July 2023'"
S62A/2023/0018,Application (Major),Hearing  date,could not convert value: 'Written reps'
S62A/2023/0022,Application (Major),Representations period - End,could not convert value: '15-Sept-23 (extended from 8-Sept-23 as LPA requested so GOV.UK updated to reflect new date for all).Further extended to 20 Sept 2023'
S62A/2023/0022,Application (Major),Representations publish date,could not convert value: 'Q published 8/8/23'
S62A/2023/0019,Application (Major),Hearing  date,could not convert value: '2 Oct 2023 & 13 Nov 2023'
S62A/2023/0026,Application (Major),Representations period - End,could not convert value: '08/01/2024 (extended to 12 Jan 2024 for LPA)'
S62A/2023/0026,Application (Major),Hearing issues report published date,could not convert value: 'needed by 30/1/24'
S62A/2023/0023,Application (Major),Date agreed for additional info,could not convert value: '24/10/2023 - rec 13/10/2023'
S62A/2023/0023,Application (Major),Representations period - End,could not convert value: '20/11/2023 (LPA extended to 24/11/23)'
S62A/2023/0028,Application (Major),Hearing  date,could not convert value: 'WR'
S62A/2023/0027,Application (Major),Representations period - End,could not convert value: '08/12/2023 (LPA extended to 15/12/2023)'
S62A/2023/0027,Application (Major),Hearing issues report published date,could not convert value: '01/02//2024'
S62A/2023/0021,Application (Major),Notice of procedure date,could not convert value: '07/11/2023. Feb H date notification 01/02/2024'
S62A/2023/0021,Application (Major),Hearing notification date,could not convert value: '07/11/2023. Feb H date notification 01/02/2024'
S62A/2023/0021,Application (Major),Hearing issues report published date,could not convert value: '16/11/2023 13/02/2024'
S62A/2023/0031,Application (Major),Representations period - start,could not convert value: '2 Janaury 2024'
S62A/2023/0031,Application (Major),Representations period - End,could not convert value: '01/02/2024 (extended to 09/02/24 for UDC)'
S62A/2023/0031,Application (Major),S106 submitted date,could not convert value: 'due 8 March 2024'
S62A/2023/0031,Application (Major),Hearing  date,could not convert value: 'WR'
S62A/2024/0032,Application (Major),Date agreed for additional info,could not convert value: '09/02/2024. 22/02/2024'
S62A/2024/0032,Application (Major),Representations period - End,could not convert value: '19/03/2024  (extended to 05/04/24 for UDC)'
S62A/2023/0030,Application (Major),Representations publish date,"could not convert value: ""14/02/2024 (27/02/2024 as UDC's was missing??)"""
S62A/2023/0030,Application (Major),Notice of procedure date,could not convert value: '19/02/2024 11 April 2024'
S62A/2023/0030,Application (Major),Hearing notification date,could not convert value: '19/02/2024 11 April 2024'
S62A/2024/0045,Application (Major),Representations period - End,could not convert value: '25/07/2024 (extended to 26/07/24 for UDC) Extended to 29/07 due to updated plans'
S62A/2024/0051,Application (Major),Representations publish date,could not convert value: 'Q published 30/7/24'
S62A/2024/0051,Application (Major),Hearing  date,could not convert value: 'provisionally 17 Sept 2024 Wreps'
S62A/2024/0057,Application (Major),Representations period - End,could not convert value: '12/09/2024  (extended to 20/09/24 for UDC)'
S62A/2024/0057,Application (Major),S106 submitted date,could not convert value: 'due 4 October 2024'
S62A/2024/0057,Application (Major),Hearing  date,could not convert value: 'Provisionally 31 Oct 2024 Wreps'
S62A/2024/0049,Application (Major),Hearing  date,could not convert value: 'provisonally 5 Sept 2024 Wreps'
