Field,Source,Source field
Case reference,Horizon/Spreadsheet,Case ref
Development description,Horizon/Spreadsheet,Development description
Likely issues,Spreadsheet,Likely issues
Application type,Horizon/Spreadsheet,Type of application
Application classification,Spreadsheet,Tab dependent
Pre-application or application,Spreadsheet,Tab dependent and case reference dependent
Specialism,Spreadsheet,Level & Specialism
Inspector band,Spreadsheet,Level & Specialism
LPA name,Spreadsheet,LPA
Has secondary LPA,Spreadsheet,LPA - need to split out any additional LPAs
Secondary LPA name,Spreadsheet,Address
Site address,Spreadsheet,Address
Site address,Spreadsheet,Address
Site address,Spreadsheet,Address
Site address,Spreadsheet,Address
Site address,Spreadsheet,Address
Site address,Spreadsheet,Address
Expected application submission date,Spreadsheet,Expected submission date - application
Expected pre-application submission date,Spreadsheet,Expected submission date - pre-app
Outcome type,Spreadsheet,Based on decision date being completed
Decision outcome,Horizon/Spreadsheet,Grant
Decision date,Horizon/Spreadsheet,Decision date
5 years passed from decision date,Spreadsheet,Decision date + 5 years
Procedure,Spreadsheet,Procedure WR
LPA reference,Spreadsheet,Ref (LPA ref will need pulling out)
Listed building reference,Spreadsheet,Ref (LBC ref will need pulling out)
Green belt,Spreadsheet,Detailed under 'Likely issues'
Health and safety issues,Spreadsheet,Detailed under 'Likely issues'
CIL liable,Spreadsheet,LPA CIL response
Cil amount,Spreadsheet,LPA CIL response
BNG exempt,Spreadsheet,Comments
Pre-application advice,Spreadsheet,Pre-application advice? On major tab
Pre-application received date,Spreadsheet - pre-app tab,Receipt date (pre-app tab)
Pre-application advice issued date,Spreadsheet - pre-app tab,Advice issued date (pre-app tab)
Pre-application reference,Spreadsheet - pre-app tab,Ref where different on tabs
Applicant type,Spreadsheet,To be determined from 'Applicant'
Notification received date,Spreadsheet,Pre-notification date
Application received date,Horizon/Spreadsheet,Receipt date
Application acknowledged,Spreadsheet,Letter 7 sent to applicant
Further information requested,Spreadsheet,Letter 8 sent to applicant - invalid (if applicable)
Date agreed for additional information,Spreadsheet,Date agreed for submission of additional docs
Application valid date,Horizon/Spreadsheet,valid date
Valid letters sent,Horizon/Spreadsheet,Valid letters (17 & 9) to LPA
LPA questionnaire sent date,Horizon/Spreadsheet,Letter 16 and Q sent to LPA
LPA questionnaire received date,Horizon/Spreadsheet,LPA Q received
Target publish date,Spreadsheet,Application published due date (valid + 5 working days)
Publish date,Horizon/Spreadsheet,Application documents published actual date
Press notice date,Horizon/Spreadsheet,PINS interested parties press notice placed and TMP ref - pull out date
Neighbours notified by LPA date,Horizon/Spreadsheet,LPA interested parties ntification date
LPA interested parties deadline,Spreadsheet,LPA interested parties deadline
Interested parties press notice deadline,Spreadsheet,PINS interested parties press notice deadline
Interim findings date,Spreadsheet,Inspector interim findings (letter 25 to applicant)
Reconsultation details,Spreadsheet,Reconsultation details - pull out sent date
Reconsultation details,Spreadsheet,Reconsultation details - pull out deadline date
S106 submitted date,Spreadsheet,S106 suubmitted date
Target decision date,Horizon/Spreadsheet,Target decision date (look at comments on boxes as original date is sometimes in here) - link to Extended target decision date
Extended target decision date,Horizon/Spreadsheet,Target decision date (look at boxes with comments as there is the original target date and the extended time date)
Site visit,Spreadsheet,Inspector USV or ARSV date (if needed) - pull out date and time
Site visit type,Spreadsheet,Inspector USV or ARSV date (if needed) - pull out site visit type
Withdrawn date,Horizon/Spreadsheet,Notes for turned away or refused wording in comments or in 'Ref' column.
Turned away date,Horizon/Spreadsheet,Notes for turned away or refused wording.
Representations period,Horizon/Spreadsheet,Consultations sent
Representations period,Horizon/Spreadsheet,Consultations deadline (see statutory consultees and Town Parish Council list for list of parties consulted
Representations publish date,Horizon/Spreadsheet,"Representations,  LPA Questionnaire published date and procedure decision (within 5 days of close of comment period)"
Appointed person / Inspector 1,Horizon/Spreadsheet,Inspector
Date appointed person /  inspector assigned,Spreadsheet,Date inspector allocated
Date appointed person /  inspector appointed,Spreadsheet,"Representations,  'LPA Questionnaire published date and procedure decision (within 5 days of close of comment period)'"
Appointed person / Inspector 2,Horizon/Spreadsheet,Inspector
Date appointed person /  inspector assigned,Spreadsheet,Date inspector allocated
Date appointed person / inspector appointed,Spreadsheet,"Representations,  'LPA Questionnaire published date and procedure decision (within 5 days of close of comment period)'"
Appointed person / Inspector 3,Horizon/Spreadsheet,Inspector
Date appointed person /  inspector assigned,Spreadsheet,Date inspector allocated
Date appointed person / inspector appointed,Spreadsheet,"Representations,  'LPA Questionnaire published date and procedure decision (within 5 days of close of comment period)'"
Case officer,Horizon/Spreadsheet,Case officer
Planning officer,Horizon/Spreadsheet,Planning officer
Reader,Spreadsheet,Reader
EIA screening,Spreadsheet,EIA outcome (publish any letter to gov.uk) - this field will confirm if sent
EIA screening outcome,Spreadsheet,EIA outcome (publish any letter to gov.uk) - this field will confirm outcome if relevant
Date environment statement was received,Spreadsheet,EIA outcome (publish any letter to gov.uk) - this field will confirm received date if relevant
Notice of procedure date,Spreadsheet,Hearing date notification
Hearing date,Horizon/Spreadsheet,"Hearing date
Event notes on Horizon to be used for time of event"
Hearing notification date,Spreadsheet,Hearing date notification
Additional meetings required,Spreadsheet,CMC date
Hearing issues report published date,Spreadsheet,Issues report published date
Pre-application fee,Spreadsheet,Fee amount (pre-app tab)
Charging schedule sent,Spreadsheet - pre-app tab,Date charging schedule sent to applicant (pre-app tab)
Customer number,Spreadsheet - pre-app tab,Set up as customer for invoicing? (SAP 8) (pre-app tab)
Pre-application fee due,Spreadsheet - pre-app tab,Fee amount (pre-app tab)
Invoice date,Spreadsheet - pre-app tab,Invoice SAP5 to FSSD
Pre-application fee received date,Spreadsheet,Fee paid (pre-app tab)
Application fee,Horizon/Spreadsheet,Fee amount
Application fee amount,Horizon/Spreadsheet,Fee amount
Fee received date (appears if above if yes),Horizon/Spreadsheet,Fee paid
Fee refund ,Horizon/Spreadsheet,Fee return date
Press notice cost,Spreadsheet,TMP amount (not including VAT)  ALSO cross check PINS interested parties press notice placed and TMP ref - pull out cost
Press notice placed,Spreadsheet,PINS interested parties press notice placed and TMP ref - pull out publication
Press notice reference,Spreadsheet,PINS interested parties press notice placed and TMP ref - pull out reference
