Field,Source field,Conditions
Case reference,basic_data.CaseReference,
Pre-application status,,"Manually override, will be Decision for most Horizon"
Application Status,basic_data.Status,
Stage,,"Manually override, will be Decision for most Horizon"
Application phase,case_reference_list.caseCategory,"if case_reference_list.caseCategory = ""pre-app"" then ""pre-application"", else ""application"" "
Application classification,,N/A - take from S/S
Application type,basic_data.PermissionSought,Manually check and remapp after
Application subtype,case_reference_list.caseCategory,"if case_reference_list.caseCategory = ""listed-building"" then ""Listed building consent"", else ""Planning permission"""
Notification received date,,N/A - take from S/S
Expected submission date,,N/A - take from S/S
Pre-app/Application received date,key_dates.DateReceived,
Application acknowledged,,N/A - take from S/S
Further info requested,,N/A - take from S/S
Date agreed for additional info,,N/A - take from S/S
Application valid,key_dates.DateValid,
Valid letters sent,key_dates.ConsultationsWithRelevantAuthoritiesDate,
LPA questionnaire sent,key_dates.DateInfoSentToLPA,
LPA questionnaire rec'd date,key_dates.DateInfoReturnedFromLPA,
Target publish date,,N/A - take from S/S
Publish date,key_dates.PublicityForApplicationsDate,
Press notice date,key_dates.NewspaperAdvertDate,
Neighbours notified by LPA date,key_dates.DateNeighboursNotified,
Neighbours notified by LPA date,key_dates.DateNeighboursNotified,
LPA interested parties deadline,,N/A - take from S/S
Site notice by LPA date,key_dates.SiteNoticeDate,
Interested parties press notice deadline,,N/A - take from S/S
Mineral Applications date,key_dates.MineralNotificationDate,
Interim findings date,,N/A - take from S/S
Representations period - start,key_dates.RepresentationPeriodOpen,
Representations period - End,key_dates.RepresentationPeriodClose,
Reconsultation details sent date,,N/A - take from S/S
Reconsultation details deadline date,,N/A - take from S/S
Representations publish date,key_dates.RepresentationsPublishedDate,
S106 submitted date,,N/A - take from S/S
Target decision date,key_dates.TargetDecisionDate,
Extended target decision date,key_dates.EoTTargetDate,
Recovered date,,Never happened
Site visit type,,N/A - take from S/S
Site visit date,,N/A - take from S/S
Withdrawn date,,Process after
Turned away date,,Process after
Pre-application advice requested,basic_data.PreApplicationAdviceGiven,
Pre-app received date,,N/A - take from S/S
Pre-app reference,,N/A - take from S/S
LPA,basic_data.LPAName,
LPA contact - First name,case_involvement.OrganisationName,"WHERE case_involvement.TypeOfInvolvement = ""LPA"" "
LPA contact - Last name,,
LPA contact - Phone number,case_involvement.TelephoneNumber,"WHERE case_involvement.TypeOfInvolvement = ""LPA"""
LPA contact - Email,case_involvement.Email,"WHERE case_involvement.TypeOfInvolvement = ""LPA"""
Secondary LPA,,There's only one for each case
Secondary LPA  - First name,,There's only one for each case
Secondary LPA - Last name,,There's only one for each case
Secondary LPA  - Phone number,,There's only one for each case
Secondary LPA  - Email,,There's only one for each case
Agent organisation name,case_involvement.OrganisationName,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent address 1,case_involvement.Address1,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent address 2,case_involvement.Address2,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent town or city,case_involvement.City,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent county,case_involvement.County,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent postcode,case_involvement.PostCode,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent first name,case_involvement.FirstName,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent last name,case_involvement.LastName,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent email,case_involvement.Email,"WHERE case_involvement.TypeOfInvolvement = ""Agent"" , append to array"
Agent phone,case_involvement.TelephoneNumber,"WHERE case_involvement.TypeOfInvolvement = ""Agent"",  append to array"
Applicant type,,Process after
Applicant organisation name,case_involvement.ContactDetails,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" ,  append to array"
Applicant address 1,case_involvement.Address1,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" ,  append to array"
Applicant address 2,case_involvement.Address2,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" ,  append to array"
Applicant town or city,case_involvement.City,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant county,case_involvement.County,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant postcode,case_involvement.PostCode,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant first name,case_involvement.FirstName,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant last name,case_involvement.LastName,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant email,case_involvement.Email,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Applicant phone,case_involvement.TelephoneNumber,"WHERE case_involvement.TypeOfInvolvement = ""Applicant"" , append to array"
Inspector 1,"case_involvement.FirstName, case_involvement.LastName","WHERE case_involvement.TypeOfInvolvement in ('Inspector', 'Previous Inspector', 'Appointed Person') then append to array; we'll flatten out in to Inspector 2 and 3 after"
Date Inspector (1) allocated,case_involvement_p.InvolvementStartDate,"WHERE case_involvement_p.TypeOfInvolvement in ('Inspector', 'Previous Inspector', 'Appointed Person') then append to array; we'll flatten out in to Inspector 2 and 3 after"
Inspector 2,,Process after
Date Inspector (2) allocated,,Process after
Inspector 3,,Process after
Date Inspector (3) allocated,,Process after
Case officer,"case_involvement.FirstName, case_involvement.LastName","WHERE case_involvement.TypeOfInvolvement in ('Case Officer', 'Case Manager', 'Case Administrator') , then append to array"
Planning officer,,N/A - take from S/S
Assessor inspector,,N/A - leave blank
Reader,,N/A - take from S/S
Additional contacts - Other - Legal Officer - First name,case_involvement.FirstName,"WHERE case_involvement.TypeOfInvolvement = ""Legal Officer"" , append to array"
Additional contacts - Other - Legal Officer - Last name,case_involvement.LastName,"WHERE case_involvement.TypeOfInvolvement = ""Legal Officer"" , append to array"
Additional contacts - Other - Legal Officer - Phone number,case_involvement.TelephoneNumber,"WHERE case_involvement.TypeOfInvolvement = ""Legal Officer"" , append to array"
Additional contacts - Other - Legal Officer - Email,case_involvement.Email,"WHERE case_involvement.TypeOfInvolvement = ""Legal Officer"" , append to array"
Site address 1,extended_data.SiteAddress,Process after
Site address 2,extended_data.SiteAddress,Process after
Site town or city,extended_data.SiteAddress,Process after
Site county,extended_data.SiteAddress,Process after
Site post code,extended_data.SitePostcode,
Site coordinates - Easting,extended_data.SiteEasting,
Site coordinates - Northing,extended_data.SiteNorthing,
Area of site,extended_data.SiteArea,
Site area units,extended_data.SiteAreaUnitMeasurement,
Development description,basic_data.ApplicationDescription,
Likely issues,,N/A - take from S/S
Specialism,,N/A - take from S/S
Inspector band,,N/A - take from S/S
Category,basic_data.ApplicationType,
Site visibile from public land,extended_data.SiteVisibleFromPublicLand,
LPA reference,,N/A - take from S/S
Listed building reference,,N/A - take from S/S
Green belt,,N/A - take from S/S
Health and safety issues,,N/A - take from S/S
Procedure,basic_data.Procedure,
CIL liable,,N/A - take from S/S
CIL amount,,N/A - take from S/S
BNG Exempt,,N/A - take from S/S
EIA screening,,N/A - take from S/S
EIA screening outcome,,N/A - take from S/S
Date Environmental Statement rec'd,dclg_return.EnvironmentalStatementReceived,
Notice of procedure date,,N/A - take from S/S
Hearing  date,key_dates.HearingDate,
Hearing notification date,,N/A - take from S/S
Hearing issues report published date,,N/A - take from S/S
Hearing duration - prep (days),,
Hearing duration - sitting (days),hearing.EndDate - hearing.StartDate,hearing.EndDate - hearing.StartDate
Hearing duration - reporting (days),,
Hearing venue,hearing.HearingVenueAddress,
Additional meeting required date,,N/A - take from S/S
Press notice cost,,N/A - take from S/S
Press notice placed ,,N/A - take from S/S
Press notice reference,,N/A - take from S/S
Pre-application fee required,,N/A - take from S/S
Charging schedule sent,,N/A - take from S/S
Pre-application fee due,,N/A - take from S/S
Invoice date,,N/A - take from S/S
Pre-application fee received date,,N/A - take from S/S
Application fee,fees.ApplicationFeeDue,Yes if fees.RefundAmount not null / 0 (process after).
Application fee amount,fees.ApplicationFeeDue,
Fee received date,fees.ApplicationFeeReceivedDate,
Fee refund,fees.RefundAmount,Yes if fees.RefundAmount not null / 0 (process after)
Fee refund amount,fees.RefundAmount,
Fee refund paid date,fees.RefundPaidDate,
Pre-app advice issued date,,"Process after, take from S/S"
Outcome type,,"Process after, take from S/S"
Decision outcome,key_dates.DecisionType,
Decision date,key_dates.DecisionDate,
Original decision date,,
Recovered report sent date,,Never happened
Notes,,
Created on,,I'd need to find separately but not terribly important
Last modified,,I'd need to find separately but not terribly important
Published to legacy gov.uk,,
TotalProposedResidentialUnits,extended_data.TotalProposedResidentialUnits,
NetResidentialUnitChange,extended_data.NetResidentialUnitChange,
NetAdditionalFloorspaceSqM,extended_data.NetAdditionalFloorspaceSqM,
NonResExistingFloorspaceSqM,extended_data.NonResExistingFloorspaceSqM,
NonResFloorspaceLostSqM,extended_data.NonResFloorspaceLostSqM,
NonResFloorspaceProposedSqM,extended_data.NonResFloorspaceProposedSqM,
NonResNetFloorspaceSqM,extended_data.NonResNetFloorspaceSqM,
ActivitiesProcessesDescription,extended_data.ActivitiesProcessesDescription,
IsWasteDevelopment,extended_data.IsWasteDevelopment,
WasteType,extended_data.WasteType,
WasteMaxThroughputType,extended_data.WasteMaxThroughputType,
VoidCapacityCubicMetres,extended_data.VoidCapacityCubicMetres,
LiquidWasteMaxAnnualThroughput,extended_data.LiquidWasteMaxAnnualThroughput,
ParkingGroupID,extended_data.ParkingGroupID,
ParkingVehicleType,extended_data.ParkingVehicleType,
